AHQ vs DWG Highlights Worlds 2019 Main Event Group Stage AHQ eSports Club vs Damwon Gaming by Onivia-lxgtfGgRosg,AHQ,DWG,102844401154430631,2019-10-13T15:21:43.228Z,,,,,,
AHQ vs IG Highlights Worlds 2019 Main Event Group Stage AHQ eSports Club vs Invictus Gaming by Onivi-FLJghukeHKs,AHQ,IG,102844401151874719,2019-10-20T12:10:35.874Z,,,,,,
AHQ vs TL Highlights Worlds 2019 Main Event Group Stage AHQ eSports Club vs Team Liquid by Onivia-IpJqnNSCkoA,AHQ,TL,102844401153578660,2019-10-14T14:14:57.072Z,,,,,,
C9 vs G2 Highlights Worlds 2019 Main Event Group Stage Cloud9 vs G2 Esports by Onivia-v40JtnYKgBM,C9,G2,102844283025041497,2019-10-18T15:46:29.465Z,,,,,,
C9 vs GRF Highlights Worlds 2019 Main Event Group Stage Cloud9 vs Griffin by Onivia-80N2BunfMRs,C9,GRF,102844283025696858,2019-10-15T17:07:16.554Z,,,,,,
C9 vs HKA Highlights Worlds 2019 Main Event Group Stage Cloud9 vs Hong Kong Attitude by Onivia-ZV-8M7TJwS8,C9,HKA,102844283020453971,2019-10-13T17:12:54.050Z,,,,,,
CG vs FNC Highlights Worlds 2019 Main Event Group Stage Clutch Gaming vs Fnatic by Onivia-mSX_Nt0nmCg,CLU,FNC,102844341908026005,2019-10-19T13:13:00.050Z,,,,,,
CG vs MMM Highlights Worlds 2019 Play in Clutch Gaming vs MAMMOTH by Onivia-okqbXHkMUvg,CLU,MMM,102844212429550795,2019-10-04T14:53:38.361Z,,,,,,
CG vs RNG Highlights Worlds 2019 Main Event Group Stage Clutch Gaming vs Royal Never Give Up by Oniv-a53H7tcekdE,CLU,RNG,102844341906977427,2019-10-19T15:16:22.517Z,,,,,,
CG vs RY Highlights Game 1 Worlds 2019 Play in Round 2 Clutch Gaming vs Royal Youth by Onivia-Vg2SrSiKeD8,CLU,RYL,102844235752963525,2019-10-07T14:50:20.268Z,,,,,,
CG vs RY Highlights Game 2 Worlds 2019 Play in Round 2 Clutch Gaming vs Royal Youth by Onivia-vvP_vz1vAjI,CLU,RYL,102844235753356742,2019-10-07T15:41:18.258Z,,,,,,
